model,pretest,map_id,battle,map,outcome,reason,triggered,trigger_turn,target,launch_turn,launch_count,result_turn,first_attack_result,engaged,failed_waves,cf_start_bases_a,cf_start_bases_b,cf_final_bases_a,cf_final_bases_b,cf_relation,cf_unclaimed,cf_built_a,cf_built_b
65205,14,217,118863,D:\github\2026-NYPC\summission_result\tournament\Pretest #14\battle-118863\tc-1-217-vs-1558.log,W,B's HQ destroyed on day 120,0,,,,,,NO_TRIGGER,,,,,,,NO_TRIGGER,,,
65205,14,29,121757,D:\github\2026-NYPC\summission_result\tournament\Pretest #14\battle-121757\tc-1-29-vs-1558.log,W,B's HQ destroyed on day 193,0,,,,,,NO_TRIGGER,,,,,,,NO_TRIGGER,,,
65205,14,1095,122092,D:\github\2026-NYPC\summission_result\tournament\Pretest #14\battle-122092\tc-1-1095-vs-1558.log,W,"200 days elapsed, HQ hp 30 vs 10",1,45,32,53,5,61,SUCCESS,0,0,6,5,9,6,AHEAD,0,T46:R16 T49:R17 T57:R58,T45:R32
65205,14,1281,122747,D:\github\2026-NYPC\summission_result\tournament\Pretest #14\battle-122747\tc-1-1281-vs-1558.log,W,"200 days elapsed, HQ hp 20 vs 10",0,,,,,,NO_TRIGGER,,,,,,,NO_TRIGGER,,,
65205,14,411,123047,D:\github\2026-NYPC\summission_result\tournament\Pretest #14\battle-123047\tc-1-411-vs-1558.log,W,B's HQ destroyed on day 166,1,22,15,,,27,NO_LAUNCH_RELEASED,,,3,2,5,6,BEHIND,0,T30:R30 T35:R10,T22:R15 T32:R26 T37:R42 T43:R46
65205,15,423,126678,D:\github\2026-NYPC\summission_result\tournament\Pretest #15\battle-126678\tc-1-423-vs-1558.log,W,"200 days elapsed, HQ hp 20 vs 10",1,44,49,,,45,NO_LAUNCH_RELEASED,,,6,5,8,9,BEHIND,0,T47:R39 T52:R45,T44:R49 T48:R53 T51:R63 T54:R57
65205,15,1007,127106,D:\github\2026-NYPC\summission_result\tournament\Pretest #15\battle-127106\tc-1-1007-vs-1558.log,W,"200 days elapsed, HQ hp 30 vs 10",1,48,30,53,5,60,SUCCESS,0,0,6,5,7,8,BEHIND,0,T48:R8,T48:R30 T51:R54 T54:R34
65205,15,939,128746,D:\github\2026-NYPC\summission_result\tournament\Pretest #15\battle-128746\tc-1-939-vs-1558.log,W,"200 days elapsed, HQ hp 30 vs 10",1,56,40,,,60,NO_LAUNCH_RESOLVED,0,0,5,5,6,6,TIED,1,T58:R25,T61:R32
65205,15,353,130335,D:\github\2026-NYPC\summission_result\tournament\Pretest #15\battle-130335\tc-1-353-vs-1558.log,W,B's HQ destroyed on day 153,1,48,29,52,2,62,SUCCESS,0,0,4,3,5,3,AHEAD,1,T51:R4,
65205,15,188,130976,D:\github\2026-NYPC\summission_result\tournament\Pretest #15\battle-130976\tc-1-188-vs-1558.log,W,B's HQ destroyed on day 178,0,,,,,,NO_TRIGGER,,,,,,,NO_TRIGGER,,,
65205,15,1256,131333,D:\github\2026-NYPC\summission_result\tournament\Pretest #15\battle-131333\tc-1-1256-vs-1558.log,W,B's HQ destroyed on day 122,1,34,17,39,4,49,SUCCESS,0,0,4,3,5,4,AHEAD,0,T36:R8,T34:R17
65205,16,289,132535,D:\github\2026-NYPC\summission_result\tournament\Pretest #16\battle-132535\tc-1-289-vs-1558.log,W,"200 days elapsed, HQ hp 30 vs 10",0,,,,,,NO_TRIGGER,,,,,,,NO_TRIGGER,,,
65205,16,1245,133784,D:\github\2026-NYPC\summission_result\tournament\Pretest #16\battle-133784\tc-1-1245-vs-1558.log,W,"200 days elapsed, HQ hp 25 vs 10",1,57,47,,,62,NO_LAUNCH_RESOLVED,0,0,6,6,7,9,BEHIND,1,T58:R41,T61:R53 T63:R55 T66:R22
