stage,model,canonical,duplicate_of,wins,losses,draws,errors,games,score_rate
unique_maps_100_seed_42,65205,65205,,100,0,0,0,100,1.000000
unique_maps_100_seed_42,65257,65257,,100,0,0,0,100,1.000000
unique_maps_100_seed_42,70784,70784,,95,0,5,0,100,0.975000
unique_maps_100_seed_42,70833,70833,,95,0,5,0,100,0.975000
unique_maps_100_seed_42,79541,79541,,81,4,15,0,100,0.885000
unique_maps_100_seed_42,83284,83284,,74,2,24,0,100,0.860000
unique_maps_100_seed_42,83304,83304,,76,2,22,0,100,0.870000
unique_maps_100_seed_42,84206,84206,,73,2,25,0,100,0.855000
unique_maps_100_seed_42,87838,87838,,68,6,26,0,100,0.810000
unique_maps_100_seed_42,91531,91531,,72,5,23,0,100,0.835000
unique_maps_100_seed_42,93978,93978,,56,4,40,0,100,0.760000
unique_maps_100_seed_42,96816,96816,,68,3,29,0,100,0.825000
unique_maps_100_seed_42,97302,97302,,69,2,29,0,100,0.835000
unique_maps_100_seed_42,107981,107981,,69,2,29,0,100,0.835000
unique_maps_100_seed_42,108830,108830,,77,1,22,0,100,0.880000
unique_maps_100_seed_42,109203,109203,,64,6,30,0,100,0.790000
unique_maps_100_seed_42,110193,110193,,78,1,21,0,100,0.885000
unique_maps_100_seed_42,110496,110496,,72,2,26,0,100,0.850000
unique_maps_100_seed_42,110584,110584,,75,1,24,0,100,0.870000
