stage,model,canonical,duplicate_of,wins,losses,draws,errors,games,score_rate
unique_maps_100_seed_42,65205,65205,,100,0,0,0,100,1.000000
unique_maps_100_seed_42,65257,65257,,100,0,0,0,100,1.000000
unique_maps_100_seed_42,70784,70784,,81,3,16,0,100,0.890000
unique_maps_100_seed_42,70833,70833,,81,3,16,0,100,0.890000
unique_maps_100_seed_42,79541,79541,,77,4,19,0,100,0.865000
unique_maps_100_seed_42,83284,83284,,72,6,22,0,100,0.830000
unique_maps_100_seed_42,83304,83304,,71,5,24,0,100,0.830000
unique_maps_100_seed_42,84206,84206,,78,3,19,0,100,0.875000
unique_maps_100_seed_42,87838,87838,,71,8,21,0,100,0.815000
unique_maps_100_seed_42,91531,91531,,66,3,31,0,100,0.815000
unique_maps_100_seed_42,93978,93978,,56,3,41,0,100,0.765000
unique_maps_100_seed_42,96816,96816,,60,4,36,0,100,0.780000
unique_maps_100_seed_42,97302,97302,,60,2,38,0,100,0.790000
unique_maps_100_seed_42,107981,107981,,60,2,38,0,100,0.790000
unique_maps_100_seed_42,108830,108830,,73,3,24,0,100,0.850000
unique_maps_100_seed_42,109203,109203,,67,3,30,0,100,0.820000
unique_maps_100_seed_42,110193,110193,,77,4,19,0,100,0.865000
unique_maps_100_seed_42,110496,110496,,67,4,29,0,100,0.815000
unique_maps_100_seed_42,110584,110584,,73,2,25,0,100,0.855000
