turn,goldA,goldB,warA,warB,hqA,hqB,basesA,basesB
0,499,499,3,3,10,10,0,0
1,508,508,3,3,10,10,0,0
2,517,517,3,3,10,10,0,0
3,516,394,3,4,10,10,0,0
4,403,391,4,4,10,10,0,0
5,402,400,3,3,10,10,0,0
6,411,409,3,3,10,10,0,0
7,420,133,3,3,10,10,0,1
8,146,37,2,3,10,10,1,1
9,50,61,3,3,10,10,1,1
10,74,85,3,3,10,10,1,1
11,98,109,3,3,10,10,1,1
12,122,133,3,3,10,10,1,1
13,146,157,3,3,10,10,1,1
14,170,181,3,3,10,10,1,1
15,194,205,3,3,10,10,1,1
16,218,229,3,3,10,10,1,1
17,242,253,3,3,10,10,1,1
18,256,267,3,3,10,10,1,1
19,280,291,3,3,10,10,1,1
20,304,315,3,3,10,10,1,1
21,328,217,3,4,10,10,1,1
22,230,239,4,4,10,10,1,1
23,254,263,3,3,10,10,1,1
24,268,277,3,3,10,10,1,1
25,292,301,3,3,10,10,1,1
26,316,325,3,3,10,10,1,1
27,340,227,3,4,10,10,1,1
28,242,249,4,4,10,10,1,1
29,266,263,3,3,10,10,1,1
30,280,287,3,3,10,10,1,1
31,304,311,3,3,10,10,1,1
32,328,50,3,3,10,10,1,2
33,232,89,3,3,10,10,1,2
34,246,128,3,3,10,10,1,2
35,270,45,3,4,10,10,1,2
36,294,82,3,4,10,10,1,2
37,318,119,3,4,10,10,1,2
38,57,156,3,4,10,10,2,2
39,96,193,3,4,10,10,2,2
40,135,220,3,4,10,10,2,2
41,52,257,4,4,10,10,2,2
42,89,294,4,4,10,10,2,2
43,126,331,4,4,10,10,2,2
44,153,83,4,4,10,10,2,3
45,190,135,4,4,10,10,2,3
46,227,65,4,5,10,10,2,3
47,142,105,5,5,10,10,2,3
48,167,155,5,5,10,10,2,3
49,204,205,4,5,10,10,2,3
50,241,255,4,5,10,10,2,3
51,278,305,4,5,10,10,2,3
52,315,70,4,5,10,10,2,4
53,67,135,4,5,10,10,3,4
54,119,78,4,6,10,10,3,4
55,171,141,4,6,10,10,3,4
56,101,194,5,6,10,10,3,4
57,151,257,5,6,10,10,3,4
58,201,320,5,6,10,10,3,4
59,241,98,5,6,10,10,3,5
60,291,176,5,6,10,10,3,5
61,341,132,5,7,10,10,3,5
62,106,76,5,8,10,10,4,5
63,171,150,5,8,10,10,4,5
64,114,224,6,8,10,10,4,5
65,177,298,6,8,10,10,4,5
66,118,372,7,8,10,10,4,5
67,179,446,7,8,10,10,4,5
68,240,400,7,8,10,10,4,5
69,169,474,8,8,10,10,4,5
70,106,426,9,9,10,10,4,5
71,165,363,8,9,10,10,4,5
72,102,298,9,10,10,10,4,5
73,159,231,9,11,10,10,4,5
74,94,177,10,12,10,10,4,5
75,149,243,10,12,10,10,4,5
76,82,309,11,12,10,10,4,5
77,135,375,11,12,10,10,4,5
78,188,441,11,12,10,10,4,5
79,241,385,11,13,10,10,4,5
80,172,449,12,13,10,10,4,5
81,101,513,13,13,10,10,4,5
82,150,455,13,14,10,10,4,5
83,199,517,13,14,10,10,4,5
84,126,579,14,14,10,10,4,5
85,51,519,15,15,10,10,4,5
86,96,457,15,16,10,10,4,5
87,141,515,15,16,10,10,4,5
88,54,573,16,16,10,10,4,5
89,99,509,15,17,10,10,4,5
90,144,565,15,17,10,10,4,5
91,67,621,16,17,10,10,4,5
92,110,92,16,17,10,15,4,5
93,153,163,16,17,10,15,4,5
94,196,112,16,18,10,15,4,5
95,239,181,16,18,10,15,4,5
96,282,128,16,19,10,15,4,5
97,325,73,16,20,10,15,4,5
98,368,138,16,20,10,15,4,5
99,411,81,16,21,10,15,4,5
100,424,144,16,21,10,15,4,5
101,467,85,16,22,10,15,4,5
102,512,133,15,21,10,15,4,5
103,557,59,15,22,10,15,4,5
104,602,120,15,22,10,15,4,5
105,47,181,15,22,15,15,4,5
106,107,242,15,22,15,15,4,5
107,167,303,15,22,15,15,4,5
108,105,364,16,22,15,15,4,5
109,163,425,16,22,15,15,4,5
110,99,486,17,22,15,15,4,5
111,155,547,17,22,15,15,4,5
112,89,608,18,22,15,15,4,5
113,143,669,18,22,15,15,4,5
114,167,730,18,22,15,15,4,5
115,101,791,18,22,15,15,4,5
116,157,854,17,21,15,15,4,5
117,93,917,17,21,15,15,4,5
118,149,980,17,21,15,15,4,5
119,83,1043,18,21,15,15,4,5
120,137,1106,18,21,15,15,4,5
121,69,1169,19,21,15,15,4,5
122,121,1232,19,21,15,15,4,5
123,163,110,19,21,15,20,4,5
124,217,188,18,21,15,20,4,5
125,271,266,18,21,15,20,4,5
126,295,100,18,23,15,20,4,5
127,349,161,18,22,15,20,4,5
128,403,100,18,23,15,20,4,5
129,457,159,18,23,15,20,4,5
130,511,111,18,24,15,20,4,5
131,565,183,18,24,15,20,4,5
132,619,255,18,24,15,20,4,5
133,673,327,18,24,15,20,4,5
134,727,399,18,24,15,20,4,5
135,781,471,18,24,15,20,4,5
136,835,483,18,24,15,20,4,5
137,876,555,17,24,15,20,4,5
138,934,507,16,24,15,20,4,5
139,979,579,15,24,15,20,4,5
140,1026,653,14,23,15,20,3,5
141,1073,427,14,23,15,20,3,6
142,1120,501,14,23,15,20,3,6
143,1167,468,14,24,15,20,3,6
144,1216,435,13,24,15,20,3,6
145,67,278,12,26,20,20,3,6
146,118,361,12,26,20,20,3,6
147,169,444,12,26,20,20,3,6
148,113,527,13,26,20,20,3,6
149,177,610,13,26,20,20,3,6
150,119,693,14,26,20,20,3,6
151,181,776,14,26,20,20,3,6
152,121,859,15,26,20,20,3,6
153,59,942,16,26,20,20,3,6
154,117,1025,16,26,20,20,3,6
155,175,1108,16,26,20,20,3,6
156,111,1191,17,26,20,20,3,6
157,167,1274,17,26,20,20,3,6
158,101,1357,18,26,20,20,3,6
159,155,1440,18,26,20,20,3,6
160,87,1523,19,26,20,20,3,6
161,139,1606,19,26,20,20,3,6
162,69,1689,20,26,20,20,3,6
163,119,1772,20,26,20,20,3,6
164,169,1855,20,26,20,20,3,6
165,97,1938,21,26,20,20,3,6
166,145,2021,21,26,20,20,3,6
167,71,2104,22,26,20,20,3,6
168,117,2187,22,26,20,20,3,6
169,143,2270,22,26,20,20,3,6
170,57,2353,23,26,20,20,3,6
171,103,2314,22,27,20,20,3,6
172,149,2273,22,28,20,20,3,6
173,75,2232,22,28,20,20,3,6
174,121,2311,22,28,20,20,3,6
175,147,2390,22,28,20,20,3,6
176,73,2456,22,27,20,20,3,6
177,119,152,22,27,20,25,3,6
178,167,126,21,28,20,25,3,6
179,165,98,21,29,20,25,3,6
180,217,194,19,27,20,25,3,6
181,273,168,17,28,20,25,3,6
182,331,142,16,28,20,25,3,6
183,389,186,16,28,20,25,3,6
184,449,158,15,29,20,25,3,6
185,511,130,14,29,20,25,3,6
186,560,100,13,30,20,25,3,6
187,624,190,13,30,20,25,3,6
188,675,280,12,30,20,25,3,6
189,741,322,12,29,20,25,3,6
190,794,414,11,29,20,25,3,6
191,849,234,10,30,20,25,3,6
192,906,204,9,30,20,25,3,6
193,950,172,8,31,20,25,3,6
194,1011,262,7,30,20,25,2,6
195,1072,302,7,30,20,25,2,6
196,1135,392,6,30,20,25,2,6
197,1200,484,5,29,20,25,2,6
198,1252,576,4,29,20,25,1,6
199,1304,618,4,29,20,25,1,6
